uid,iid
0,1241
2,1831
3,9315
3,3348
3,5004
3,7637
5,4330
5,4942
5,12790
6,6229
6,2688
6,6214
6,10921
7,3340
9,10883
10,7751
12,529
14,4243
14,7000
14,7659
14,2918
14,2456
14,2482
15,9081
17,6445
17,8353
17,6314
17,11364
20,6479
20,8847
20,12008
21,8351
21,12306
22,8438
22,9807
22,5211
25,10604
26,6006
26,5199
26,950
32,2976
32,8965
32,6634
32,7409
32,12363
32,9577
32,9459
32,9628
32,341
32,10538
32,1806
32,4340
32,10124
32,12426
32,11871
32,9660
32,12746
32,8431
32,7544
32,4162
32,2377
32,4132
32,10308
32,4385
32,3196
32,8532
32,2328
32,11778
32,6780
32,2148
32,4023
32,5765
32,2222
32,4569
32,10963
32,1740
33,6708
33,3660
33,9250
33,246
33,9447
33,9170
37,1425
38,12470
38,6803
38,5927
38,4239
39,11589
41,5395
43,11725
47,6774
48,7712
48,8426
49,6462
49,6932
49,5154
49,2291
49,1761
49,4413
49,9263
49,7422
49,9973
49,1290
49,8390
49,12623
49,12812
49,9127
49,12448
49,2702
49,7235
50,12493
56,8660
56,4302
56,12514
58,12551
58,2528
65,4643
65,7169
65,11081
65,383
65,5506
65,11608
65,10778
65,6849
65,7803
65,12551
65,12670
65,6926
66,9848
66,7366
68,2775
68,2202
69,1284
71,11340
72,8270
72,8011
72,10917
72,11922
73,11026
74,5881
75,12091
76,10142
76,7622
78,5004
79,2994
79,3309
79,9600
79,10538
79,1163
79,6402
79,4729
79,6710
79,5886
79,2860
79,3824
79,12017
79,11536
79,2885
79,7946
79,12534
79,8041
79,473
79,4416
79,12676
79,10305
79,2803
80,5766
80,296
82,8950
82,7627
82,5541
82,7580
82,1210
82,3882
82,1015
82,11026
82,10820
82,6342
82,11052
82,10496
82,3030
82,6621
82,8426
82,9291
82,3842
82,12298
82,10168
82,1483
82,2631
82,12156
82,5094
82,4122
82,10911
82,10648
82,10456
82,9081
83,7764
83,5299
83,3842
83,2643
83,7575
83,5556
83,5872
83,2771
83,6640
83,699
83,2207
83,8711
85,7640
86,3268
86,5589
87,3884
88,4907
88,8525
88,4049
89,9459
90,10594
90,6817
90,3006
90,12014
90,3540
90,11778
90,3294
90,11311
91,6088
91,1641
91,11396
91,2369
91,5682
91,5648
91,2225
91,1983
93,463
93,5243
94,8280
94,8797
94,7655
95,5882
95,12486
95,9327
95,968
95,12410
95,240
95,10528
95,6275
95,9300
96,9809
99,619
100,12767
100,6562
101,11958
101,3768
101,8179
102,2631
102,9033
102,7049
102,2080
102,786
103,4780
103,11026
103,4823
103,12501
103,18
103,7681
103,10820
103,11210
106,5649
109,5777
110,6550
110,5355
110,7410
110,3485
110,2629
110,6552
111,9362
111,9124
112,3436
112,5609
112,1866
113,4121
114,7526
114,12040
115,11137
115,5004
115,735
115,4537
115,9099
115,12306
115,4239
115,11091
115,5015
115,8101
115,4836
115,207
115,2331
119,1769
119,3862
119,8027
119,5140
119,6856
119,5004
119,8024
119,9250
119,6068
119,12529
119,5501
119,8518
119,11885
119,2484
119,10481
119,5085
119,8319
119,11292
119,4440
119,7378
119,7710
120,3781
121,12186
121,415
121,7397
121,5894
121,9914
121,2587
121,7870
121,4966
123,8781
123,4595
123,7862
123,8514
123,10508
123,12736
123,10931
125,4587
126,3667
126,5030
126,5464
126,1320
128,3107
129,7516
129,3666
129,12734
129,9253
132,6903
132,6908
132,735
132,9777
133,9464
134,11346
134,8582
134,7858
135,5298
136,2291
136,6833
136,10570
136,9442
136,7401
136,1684
136,12776
136,6224
136,5649
136,3487
138,4163
138,5552
138,1777
138,10278
138,3962
138,6075
138,8153
138,10509
138,8722
138,5703
138,12723
138,1380
138,9998
138,12513
138,2000
138,696
140,3385
142,2886
144,10401
148,8268
149,6756
152,3842
153,12054
154,6663
156,8297
156,6518
157,10057
160,7296
161,12551
161,5565
161,12298
162,1883
164,11469
164,9272
168,2844
169,2807
169,5511
173,11174
176,1337
176,12298
177,8524
179,3543
186,7481
186,11665
188,12715
190,3494
190,5397
190,2980
190,6314
190,4920
190,2725
190,11653
190,854
190,10908
190,12277
190,12026
190,8744
190,2777
190,12065
190,10427
190,4340
190,8663
190,6935
190,10890
190,10809
190,7633
190,10499
190,4445
190,1899
190,9815
190,2652
190,1201
195,11650
198,11781
199,7780
199,4809
199,9930
199,6641
199,12288
199,6208
199,8026
199,8935
201,12503
201,12086
201,3113
202,1630
205,3523
208,3115
208,5551
208,1173
208,8589
208,1092
208,6313
208,7806
211,5740
212,1015
214,10860
215,2270
215,9242
215,10390
215,165
215,8928
215,379
215,4569
215,2100
215,5710
215,12786
215,11993
215,3765
215,8272
215,1299
215,7508
215,2190
215,3159
217,4987
217,11932
217,8013
217,7396
218,1368
218,12205
218,776
218,3057
218,5149
218,12717
218,4139
218,7033
218,11448
218,2697
218,6421
218,8095
218,7857
218,12237
218,5550
218,11349
218,9231
219,8762
219,5475
219,3164
219,2561
219,5017
219,12695
219,747
219,7067
219,2631
219,9081
219,4514
219,3022
219,11196
219,9244
223,105
223,10996
224,9395
224,4581
224,4578
225,7489
225,6602
225,5320
225,10015
225,12412
225,10345
225,4142
226,3967
226,7009
226,4125
228,6932
229,9051
234,11379
234,10030
234,1361
235,10288
235,8349
236,1961
238,8991
238,11297
239,6846
239,1314
241,10843
241,6916
241,12802
241,12044
242,5633
242,6301
242,11513
242,7507
245,8431
246,1721
246,1732
248,10383
248,207
248,2235
248,4954
248,1716
248,3293
248,12116
250,9160
250,6818
252,1739
252,509
254,3090
256,6402
259,8957
260,4642
261,8409
262,4292
263,315
263,8217
263,12324
263,10586
263,12307
263,10117
264,3298
264,11597
266,3299
267,3236
268,1512
268,5962
268,6531
268,8571
268,3195
268,10476
268,9814
268,12369
268,7741
269,3296
269,4986
271,8842
276,10996
277,3900
278,292
278,6596
278,4769
279,1409
281,3456
281,6703
281,3508
281,12196
281,5464
281,2825
285,3859
285,433
285,2791
285,9816
285,9807
285,1920
285,2108
285,7459
285,9606
285,1681
285,11993
285,535
285,795
285,5345
285,5897
285,10546
285,1599
286,977
286,8439
286,2263
286,215
286,8142
286,5105
286,4962
286,1387
287,10988
287,4783
287,2019
289,4780
289,3550
289,5690
289,3867
290,1072
291,11404
291,4440
293,10345
293,3470
294,5774
295,3961
295,781
295,9744
295,9930
295,5511
295,2022
296,3426
298,6275
299,4778
301,10178
301,4697
301,10965
303,6138
303,7656
304,10475
304,6527
304,11258
304,2873
304,12143
304,830
304,1393
304,11054
304,2128
307,8174
307,8730
307,10812
307,11291
307,10098
307,7279
307,8015
307,12474
307,9003
307,175
307,3068
307,10849
307,4558
307,7399
307,3091
307,4138
307,1940
307,1127
307,10404
307,5986
307,9342
307,9423
307,4595
307,9337
307,3164
307,7638
307,12031
307,2560
307,8656
307,10757
307,5648
307,3812
307,8101
307,3836
309,6839
309,4894
309,977
310,8302
310,7791
310,6268
310,11497
311,5886
311,3618
311,8571
311,5207
311,2008
311,6704
312,10572
312,3582
312,9415
312,12415
312,4050
313,6478
315,5875
315,8426
315,2685
315,4099
315,11026
315,6293
315,782
315,8096
315,7735
315,1369
315,9153
315,5935
315,5690
315,4841
315,7375
315,10646
315,8431
315,8557
315,7273
315,12323
315,11151
315,1665
315,10298
315,7082
315,1797
315,1011
315,1748
315,4655
315,839
315,10811
315,3582
315,11774
315,7224
315,3929
315,3520
315,1683
315,6869
315,3550
315,1015
315,10391
315,1887
315,6981
315,2009
315,3747
315,31
315,12501
315,6299
315,9486
315,12400
315,10517
315,7423
315,2004
315,2108
315,10496
315,4598
315,4640
315,4122
315,2904
315,10876
315,5103
315,5080
315,10820
315,1028
316,12026
320,10298
320,5867
326,9509
327,11379
327,12104
327,1361
327,6920
327,2172
331,9697
332,6981
332,8994
333,12623
333,3752
335,11232
335,9352
337,661
337,377
338,9372
338,7735
338,4826
338,7538
339,7442
339,5952
339,1001
339,5709
341,8032
344,9261
345,1014
346,9713
347,6390
347,10627
347,10575
348,8563
348,2004
348,8331
348,5520
348,9724
348,4340
348,6299
348,6400
348,8142
348,143
348,6093
349,5085
349,9315
349,12103
349,6562
349,5923
355,112
356,1587
358,2600
358,8618
358,11653
358,3580
358,1905
358,9163
359,411
360,4433
362,10242
362,6145
362,10304
364,8670
364,749
364,204
364,6470
366,2100
366,7067
367,4558
367,10072
367,606
367,7193
367,11928
368,11551
369,12087
369,5486
369,14
369,9906
369,2982
369,2112
370,1596
371,1483
372,6502
372,12706
374,6602
375,6192
375,4852
375,4549
377,9605
379,9019
379,7296
379,8586
379,9033
379,4302
379,6867
379,1337
379,9631
379,8842
379,3179
379,711
379,6762
379,4324
379,12122
379,11379
379,12415
379,3467
379,9956
379,1998
379,11262
379,9724
379,7423
379,4973
379,3377
379,3582
379,2862
379,4122
379,7035
379,3619
379,10040
379,543
379,10034
379,4514
379,6013
379,11625
379,5932
379,5904
379,5115
379,2080
379,2099
379,3441
379,2396
379,12503
379,3197
379,8157
379,8334
379,6207
379,10108
379,12532
379,10773
379,9130
379,367
379,12579
379,4193
379,5520
379,3311
379,11271
379,5400
379,9010
379,6237
379,5167
379,6171
379,4502
379,356
379,12551
379,10456
379,4747
380,7492
380,6442
380,1325
380,4060
381,9690
382,4994
386,2566
386,2631
386,12267
387,8046
387,3059
387,4172
387,8834
387,11480
387,7661
387,10168
387,7050
387,8049
387,1208
387,8845
387,330
387,2587
387,12463
388,7791
388,8688
388,7331
389,595
389,6164
389,5626
392,9664
392,11781
392,8668
393,8526
394,10566
394,4343
394,2004
394,2434
394,3565
394,5735
394,10204
394,10215
394,3752
394,1438
394,1095
394,5923
394,8890
394,3766
394,5272
394,5085
394,7153
394,6368
394,6845
394,8926
394,1287
394,2104
394,151
394,12103
394,10223
395,1074
395,8571
395,11476
395,1990
395,6164
395,10537
395,12160
395,3175
395,5094
395,5093
395,2125
395,9213
395,3348
395,1769
395,5085
395,11404
395,8518
395,5874
395,2643
395,9076
395,7448
395,8246
395,7469
396,9142
396,2986
396,9349
396,6555
396,4317
397,12570
397,6562
397,10015
397,12103
398,1185
398,945
398,10738
398,3900
398,9709
398,12391
398,7225
398,6002
398,12200
398,2623
398,250
399,2771
401,1983
401,10606
401,3991
401,1465
401,7448
401,5829
401,6693
401,8253
401,5405
401,6206
401,8091
401,10976
401,6520
401,5250
401,5995
401,6042
401,8609
401,253
401,7600
401,1945
401,8402
401,1730
401,9793
401,11763
401,347
401,2767
401,3451
401,12787
401,7398
401,8346
401,5602
401,4835
401,2786
401,1494
401,8595
401,6681
401,11424
403,9127
405,8827
406,10335
408,6277
408,4249
408,6609
408,11151
408,9627
408,6086
412,5392
412,10736
412,3311
412,3993
412,5805
412,10124
412,6963
412,2192
414,9466
415,6639
417,10592
417,633
419,7112
419,6645
419,2253
419,11379
421,5080
421,2396
421,3072
422,4881
422,10618
423,926
426,3850
428,8351
429,1081
429,7083
429,297
431,6803
431,339
432,7833
433,2502
434,1662
436,10870
436,11815
436,6549
436,6145
440,5241
441,11108
442,2499
442,9804
443,12456
443,7766
443,9050
443,10617
443,4538
445,6669
445,12402
446,11152
446,3441
447,2739
447,11890
447,6762
447,1203
447,5190
447,9048
448,931
448,5874
448,9517
448,2237
450,5489
451,11249
452,12075
456,6407
456,11692
456,4194
456,10226
456,9474
456,9374
458,3852
458,2312
458,2222
460,9698
461,11165
462,2730
465,3998
469,9848
469,3209
471,7659
471,1048
471,4181
471,3794
471,2456
472,6928
473,619
473,9886
473,10241
474,5022
475,9219
476,6552
477,605
478,6940
480,3503
482,9757
483,5080
483,8950
483,486
488,12562
488,9799
488,7575
488,7008
488,699
488,8868
489,2515
491,2060
491,1919
491,4160
491,2398
491,1099
491,11667
493,6325
493,11969
493,8156
493,1139
494,6169
494,5607
494,8083
494,3846
494,1920
494,11434
494,6803
496,4153
496,6418
496,7696
496,6608
496,9234
496,11336
496,9124
496,3620
497,4803
497,8181
497,11766
499,9337
499,5762
501,6342
501,4104
502,4925
502,2401
503,3709
504,4637
504,1899
504,6314
504,10016
504,3535
504,2264
504,2449
504,12298
504,3533
505,12649
505,1775
505,9970
505,8973
506,2692
506,12483
508,11052
509,16
512,1930
514,11026
515,4271
516,6107
519,5922
519,3497
520,4114
521,3813
521,1015
521,10551
521,3619
521,3236
521,3441
522,11427
522,8998
522,10362
525,4735
528,9312
528,1611
528,9496
528,10242
534,9226
535,8592
535,10054
535,9033
535,137
535,8391
535,1262
537,7385
540,9296
540,12675
540,5988
541,9755
541,9327
541,633
541,735
541,12306
541,12412
541,10304
542,11631
542,3260
543,2724
546,12196
547,2715
548,7933
551,4719
551,4030
552,7433
552,5085
552,10980
552,7717
552,9943
552,137
552,6124
552,3008
552,8076
552,86
552,5029
552,5639
552,2934
552,1847
553,12201
553,7438
554,3508
554,983
554,2991
554,6579
560,11149
560,3091
561,7781
561,4014
561,2842
563,8106
563,7815
563,2029
563,10352
563,3654
563,10478
564,12309
566,2104
566,6440
566,5503
566,11185
567,14
569,4666
569,3819
572,8007
572,747
572,12486
572,1499
572,12039
574,12175
574,2545
574,2615
574,8113
574,7391
575,1979
575,2688
575,121
575,6237
575,7337
575,2996
575,2060
575,991
575,11101
575,8354
577,160
577,2361
577,1289
577,3035
578,9019
578,3842
578,8700
578,4590
580,2615
580,11645
580,11709
581,8163
585,4670
586,10489
586,11731
586,11511
586,991
586,4639
586,11443
586,6644
586,2434
587,1679
587,11319
587,9023
587,2574
587,9699
589,2158
590,10878
591,3095
593,2869
593,11993
593,6013
594,6049
595,1672
595,6965
595,6968
595,7924
596,4556
596,8043
596,12470
598,9051
598,4574
599,4065
599,9114
599,9788
601,6424
606,4607
606,3068
606,9464
606,7034
606,12362
606,4553
606,3696
606,2631
606,4575
606,839
606,5094
606,4502
606,3812
606,3619
606,4153
606,2080
607,10304
607,633
609,7667
611,7430
611,3399
615,1597
616,5935
616,8884
616,10238
620,5731
621,3171
621,2174
621,3460
621,6694
621,4453
622,48
622,11303
622,7798
622,1959
623,1019
623,8258
624,11347
625,6372
625,7860
625,11472
625,5724
626,8700
626,7489
627,908
627,3608
629,967
631,1739
633,3724
636,12410
638,3376
638,9395
638,691
638,7992
638,8075
638,7375
638,9848
638,12708
638,8785
638,6138
641,8934
642,8930
642,9724
642,1318
642,7184
642,1748
642,5935
642,10820
642,4645
643,4769
644,4987
644,3432
644,8067
644,3407
645,7223
647,6624
651,5368
651,12479
651,7297
652,8875
652,9360
652,1396
652,3471
652,6286
652,10139
652,7258
652,9361
653,8953
653,2207
653,7372
653,12812
654,10255
654,5229
654,10593
654,5373
654,5355
655,10
655,4693
655,9019
656,12708
656,1022
656,7741
657,600
658,8469
668,4514
669,8060
669,2172
670,2025
